카테고리,품목,매입기준가,판매기준가
CPU,라이젠9 7950X,,395000
CPU,라이젠9 7900X,,280000
CPU,라이젠9 5950X,,180000
CPU,라이젠7 5800X,,90000
CPU,라이젠5 5600X,,70000
CPU,i9-13900K,,350000
CPU,i9-12900K,,250000
CPU,i7-13700K,,220000
CPU,i7-12700K,,180000
CPU,i7-10700K,,120000
CPU,i7-9700K,,100000
CPU,i5-13600K,,180000
CPU,i5-12600K,,130000
CPU,i5-9600K,,80000
메모리,DDR5 16G,,50000
메모리,DDR5 8G,,25000
메모리,DDR4 16G,,20000
메모리,DDR4 8G,,12000
메모리,DDR4 4G,,6000
메모리,DDR3 8G,,8000
메모리,DDR3 4G,,4000
SSD,1TB NVMe,,60000
SSD,512GB NVMe,,35000
SSD,256GB NVMe,,20000
SSD,1TB SATA,,40000
SSD,512GB SATA,,25000
SSD,256GB SATA,,15000
SSD,128GB SATA,,8000
GPU,RTX 4090,,1500000
GPU,RTX 4080,,900000
GPU,RTX 4070,,600000
GPU,RTX 3090,,700000
GPU,RTX 3080,,450000
GPU,RTX 3070,,300000
GPU,RTX 3060,,200000
GPU,GTX 1080 Ti,,150000
GPU,GTX 1080,,100000
GPU,GTX 1070,,80000
