1: ['CPU', 'AMD', '단가', '인텔', '단가', None, None, None, None]
2: [None, '에슬론 200G이상', None, 'I5 750 ', None, None, None, None, None]
3: [None, ' 에슬론 3000G이상', None, 'I5 650', None, None, None, None, None]
4: [None, '라이젠 1300   2개 10,000원', None, 'i3 2100이상', None, None, None, None, None]
5: [None, '라이젠 1400', None, 'I5 2300S/T이상', None, None, None, None, None]
6: [None, '라이젠 1500이상', None, 'E3-1220이상', None, None, None, None, None]
7: [None, ' 라이젠 1600이상', None, 'i7 920이상', None, None, None, None, None]
8: [None, '라이젠 1700이상', None, 'E3-1220V2이상', None, None, None, None, None]
9: [None, '라이젠1800이상', None, 'i5 3330이상', None, None, None, None, None]
10: [None, '라이젠2200G', None, 'G1820이상', None, None, None, None, None]
11: [None, '라이젠2400G', None, 'I5 3470S/T이상', None, None, None, None, None]
12: [None, '라이젠 2600이상', None, 'I7 3770', None, None, None, None, None]
13: [None, '라이젠 2700이상', None, 'I3 4130 S/T', None, None, None, None, None]
14: [None, '라이젠3200G이상', None, 'i3 4150이상', None, None, None, None, None]
15: [None, '라이젠3400G이상', None, 'I5 4430이상', None, None, None, None, None]
16: [None, '라이젠 4650G이상', None, 'i5 4570이상', None, None, None, None, None]
17: [None, '라이젠 5500이상', None, 'i5 4690이상', None, None, None, None, None]
18: [None, None, None, 'I7 4770S', None, None, None, None, None]
19: [None, None, None, 'I7 4770 ', None, None, None, None, None]
20: [None, None, None, 'I7 4790', None, None, None, None, None]
21: [None, None, None, 'I7 4790k', None, None, None, None, None]
22: [None, None, None, 'G3900/G3930이상', None, None, None, None, None]
23: [None, None, None, 'G4400', None, None, None, None, None]
24: [None, None, None, 'I3 6100 ', None, None, None, None, None]
25: [None, None, None, 'I7 6700T', None, None, None, None, None]
26: [None, None, None, 'I7 6700', None, None, None, None, None]
27: [None, None, None, 'I7 6700K', None, None, None, None, None]
28: [None, None, None, 'I3 7100 ', None, None, None, None, None]
29: [None, None, None, 'I5 7500T', None, None, None, None, None]
30: [None, None, None, 'i5 7400', None, None, None, None, None]
31: [None, None, None, 'I5 7500이상', None, None, None, None, None]
32: [None, None, None, '\xa0I7 7700', None, None, None, None, None]
33: [None, None, None, 'I7 7700K', None, None, None, None, None]
34: [None, None, None, 'G5400이상', None, None, None, None, None]
35: [None, None, None, 'I5 8500', None, None, None, None, None]
36: [None, None, None, 'I7 8700', None, None, None, None, None]
37: [None, None, None, 'I5 8600K', None, None, None, None, None]
38: [None, None, None, 'I7 8700K', None, None, None, None, None]
39: [None, None, None, 'E3-1220V6', None, None, None, None, None]
40: [None, None, None, 'I5 8600K ', None, None, None, None, None]
41: [None, None, None, '\xa0I3 9100T', None, None, None, None, None]
42: [None, None, None, 'I3 9100f', None, None, None, None, None]
43: [None, None, None, 'I3 9100', None, None, None, None, None]
44: [None, None, None, 'I5 9400T', None, None, None, None, None]
45: [None, None, None, 'I5 9400F', None, None, None, None, None]
46: [None, None, None, 'I5 9400', None, None, None, None, None]
47: [None, None, None, 'I5 9500', None, None, None, None, None]
48: [None, None, None, 'I5 9600K', None, None, None, None, None]
49: [None, None, None, 'I7 9700F', None, None, None, None, None]
